N;City;Route;Trap code;Name GPS;Date of reading;Entidad que realizo la lectura;Epoca cultivo;Red;Black;RedBlack;Pluviometric_day;Humidity;Maximum_temperature;Observaciones;crop stage
70;Cerete;ceresanpela1;23-686-46;cereSanpela1-21;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;1;21;22;;80,68181818;;Area sembrada en Maíz.;Maiz
506;Cienaga de Oro;cienaga;23-162-154;cienaga-4;25/06/2013;ICA(Instituto Colombiano Agropecuario);veda;7;342;349;4,12;85,22727273;33,47333333;Area sembrada en Maíz.;Maiz
9114;Cotorra;Cotorrra;23-686-309;Cotorrra-10;15/06/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;47;302;349;;;;Trampa en buen Estado.;establecimiento de cultivo
10;Cerete;ceresanpela2;23-686-60;cereSanpela2-10;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;9;9;18;;80,68181818;;Lote sembrado de Maíz.;Maiz
185;Cerete;ceresancar;23-678-18;cereSancar-18;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;18;18;;80,68181818;;Lote cultivado en Maíz.;Maiz
17;Cerete;ceresanpela2;23-686-64;cereSanpela2-14;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;15;15;;80,68181818;;Lote sembrado de Maíz.;Maiz
33;Cotorra;cotorra;23-300-84;cotorra-9;14/05/2013;ICA(Instituto Colombiano Agropecuario);veda;6;330;336;;;;Lote cultivado en Maíz.;Maiz
22;Cerete;ceresanpela2;23-686-69;cereSanpela2-19;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;1;10;11;;80,68181818;;Lote sembrado en Maíz.;Maiz
9395;Lorica;Loorica;23-300-347;Loorica-23;13/07/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;20;310;330;6;84,36363636;33,37333333;Trampa en buen Estado.;Maiz
193;Cerete;ceresancar;23-162-25;cereSancar-25;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;11;11;;80,68181818;;Lote sembrado en Maíz.;Maiz
15;Cerete;ceresanpela2;23-686-62;cereSanpela2-12;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;10;10;;80,68181818;;Lote sembrado de Maíz.;Maiz
860;Cienaga de Oro;cienaga;23-189-165;cienaga-15;15/07/2013;ICA(Instituto Colombiano Agropecuario);veda;8;318;326;0,446666667;83,36363636;34,56;Area sembrada en Maíz.;Maiz
514;Cienaga de Oro;cienaga;23-189-162;cienaga-12;25/06/2013;ICA(Instituto Colombiano Agropecuario);veda;11;313;324;4,12;85,22727273;33,47333333;Area sembrada en Maíz.;Maiz
21;Cerete;ceresanpela2;23-686-68;cereSanpela2-18;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;10;10;;80,68181818;;Lote sembrado en Maíz.;Maiz
9184;Lorica;Loorica;23-417-339;Loorica-16;30/06/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;3;320;323;6,546666667;82,26666667;33,50666667;Trampa en buen Estado.;establecimiento de cultivo
16;Cerete;ceresanpela2;23-686-63;cereSanpela2-13;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;6;6;;80,68181818;;Lote sembrado de Maíz.;
192;Cerete;ceresancar;23-678-24;cereSancar-24;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;6;6;;80,68181818;;Lote sembrado en Maíz.;Maiz
187;Cerete;ceresancar;23-678-20;cereSancar-20;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;5;5;;80,68181818;;Lote cultivado en Maíz.;Maiz
183;Cerete;ceresancar;23-678-16;cereSancar-16;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;3;3;;80,68181818;;Lote cultivado en Maíz.;Maiz
116;Monteria;monteria;23-001-194;monteria-8;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;7;299;306;;;;Lote sembrado en Maíz.;Maiz
9390;Lorica;Loorica;23-417-341;Loorica-18;13/07/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;5;300;305;6;84,36363636;33,37333333;Trampa en buen Estado.;Maiz
11;Cerete;ceresanpela2;23-686-61;cereSanpela2-11;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;2;2;;80,68181818;;Lote sembrado de Maíz.;Maiz
332;Monteria;monteria;23-001-192;monteria-6;30/05/2013;ICA(Instituto Colombiano Agropecuario);veda;4;297;301;;;;Lote sembrado en Maíz.;Maiz
9174;Lorica;Loorica;23-417-351;Loorica-4;30/06/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;8;290;298;6,546666667;82,26666667;33,50666667;Trampa en buen Estado.;establecimiento de cultivo
12;Cerete;ceresanpela2;23-686-61;cereSanpela2-11;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;2;2;;80,68181818;;Lote sembrado de Maíz.;Maiz
